country,population,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey
Liberia,2790,1064.7,1.2,0.0,64.8,30.5,22.6,0.3,5.8,2.7,31.2,1.1,9.7
Libya,5412,301.2,271.7,16.1,981.3,226.7,105.1,0.6,11.4,1.0,10.5,11.3,101.4
Lithuania,3501,1048.4,0.3,28.5,218.3,39.2,27.5,0.4,1.8,8.5,108.4,6.0,28.7
Luxembourg,451,508.9,0.0,101.1,1432.2,68.0,87.3,1.6,1.7,28.3,272.2,5.6,7.3
Macedonia,2011,602.2,35.5,42.4,382.7,38.5,30.7,3.4,46.8,4.5,57.3,10.7,93.2
Madagascar,15529,1329.4,145.1,2.7,36.2,16.0,4.8,0.6,11.7,0.2,2.4,2.7,24.3
Malawi,12006,804.1,12.4,45.0,48.4,3.0,5.2,0.2,3.7,0.1,1.7,1.2,11.2
Malaysia,23458,1240.6,49.0,57.1,503.3,93.9,56.7,1.0,13.2,2.4,21.4,6.5,58.3
Maldives,274,221.8,4.2,8.7,813.5,160.8,89.0,0.0,0.0,3.4,51.6,1.1,6.9
Mali,10701,1769.6,139.8,0.0,54.8,10.9,5.7,0.3,4.8,0.2,2.5,5.5,49.6
Malta,391,74.1,9.8,7.0,1600.7,176.4,130.0,0.0,0.6,10.2,115.7,10.2,81.0
Mauritania,2648,1262.0,78.1,0.0,1036.8,84.6,30.4,0.6,11.1,0.4,4.5,5.7,51.0
Mauritius,1200,371.9,8.4,3.3,1238.9,215.3,103.8,0.6,6.9,3.9,46.5,17.8,143.4
Mexico,99810,840.0,86.7,88.1,661.1,84.9,59.6,1.3,16.8,3.6,31.8,13.6,90.4
Moldova,4051,983.2,90.0,29.6,55.7,13.2,4.7,10.5,72.9,1.5,24.3,5.4,35.8
Mongolia,2409,1316.3,35.5,30.2,2207.8,53.6,52.7,1.4,23.2,1.1,15.4,3.7,33.6
Morocco,28962,981.3,166.4,45.8,424.2,36.7,29.6,0.4,1.6,1.0,11.5,4.2,21.9
Mozambique,18561,1022.6,7.9,6.2,61.8,9.3,6.6,0.0,0.3,0.1,0.7,0.4,3.4
Myanmar,46627,1124.8,41.2,17.5,18.0,1.1,1.2,0.1,2.3,0.1,1.8,0.9,7.9
Namibia,1839,1169.4,18.7,11.8,339.6,67.9,24.0,0.3,5.6,0.5,4.9,4.0,35.7
