Country,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey
Finland,2935.6,444.8,334.5,225.0,33.1,21.4,137.4,1821.9,812.7,85.8,49.6,331.2,59.6,13.4,117.7,1212.5
France,45101.6,8586.5,3789.2,7605.6,897.2,649.7,984.0,10694.6,35925.7,4907.2,4436.4,10123.5,1515.0,813.7,1016.2,6748.5
French Polynesia,92.8,22.7,17.7,90.9,8.2,2.1,3.0,26.3,202.7,0.3,0.4,0.3,0.0,0.0,0.3,2.5
Gabon,211.2,29.9,14.9,121.1,8.7,5.3,2.4,20.1,59.3,1.9,0.8,0.3,0.0,0.0,2.1,18.5
Gambia,416.2,103.7,49.1,35.5,38.7,2.6,0.4,4.6,143.3,0.4,2.6,1.2,0.1,0.0,0.1,1.7
Georgia,1400.1,139.5,113.9,82.3,6.8,4.6,7.5,115.0,411.7,50.7,31.1,90.0,1.0,0.2,13.9,276.3
Germany,72711.4,12646.7,6935.8,9300.3,1442.1,850.2,1667.2,19123.9,29025.8,4042.8,5294.6,9927.1,1752.0,1585.7,1608.8,11106.1
Ghana,1640.2,365.1,190.2,89.6,19.3,5.5,8.9,107.8,12145.2,7.2,19.6,5.6,1.6,0.0,1.9,32.6
Gibraltar,35.3,2.8,1.4,10.8,1.5,1.3,9.7,151.9,4.8,1.7,0.6,1.2,0.1,0.1,0.4,10.8
Greece,6519.0,1548.9,760.8,2488.6,274.5,207.1,137.2,1823.8,3295.0,2740.8,149.0,253.9,71.6,28.9,18.4,299.8
Greenland,12.5,2.3,1.4,13.4,1.7,1.4,0.5,4.4,3.1,0.4,0.3,0.5,0.0,0.0,0.0,0.1
Grenada,47.0,7.4,6.5,17.9,4.4,1.4,0.5,4.3,93.6,2.6,1.6,0.6,0.0,0.0,0.0,0.2
Guam,1.5,0.3,0.1,1.4,0.1,0.0,0.0,0.0,0.8,0.2,0.1,0.0,0.0,0.0,0.0,0.1
Guatemala,2133.0,366.0,291.7,225.9,40.5,14.4,17.2,174.8,6889.8,162.2,1042.1,73.9,6.8,2.1,7.8,88.8
Guinea,552.3,194.6,83.2,17.1,4.3,1.0,1.9,23.3,709.8,2.2,0.7,2.2,0.1,0.0,1.7,26.6
Guinea-Bissau,61.1,47.7,7.7,3.9,0.6,0.2,0.2,2.9,33.2,0.1,0.1,0.2,0.0,0.0,0.2,2.9
Guyana,229.1,50.7,32.1,22.1,6.2,1.8,1.4,13.7,718.3,134.8,27.3,0.3,0.0,0.0,0.5,6.4
Haiti,993.1,353.5,250.1,63.3,8.5,6.5,2.0,18.8,512.3,187.8,64.1,7.4,0.7,0.0,0.6,6.3
Honduras,749.6,170.2,118.8,120.5,15.7,8.9,9.5,94.9,6682.3,95.4,166.7,40.8,4.6,0.7,8.3,116.6
Hungary,3790.6,816.0,397.5,416.0,46.4,46.2,143.5,1805.7,4876.9,432.2,967.6,3141.5,77.2,202.9,195.7,1994.5
Iceland,188.0,30.3,26.7,1.7,0.3,0.1,7.2,74.1,12.5,2.2,1.3,69.3,2.5,1.4,2.6,24.1
India,23067.5,2232.5,1931.9,326.9,45.9,14.2,137.5,1710.7,78724.9,19949.0,9806.4,5174.4,383.3,209.6,537.5,10089.9
Indonesia,24479.4,5897.0,1984.7,1531.2,156.6,39.9,94.0,1244.1,66813.2,210.4,4088.7,332.1,39.5,11.7,46.8,807.6
Iran,16233.3,1402.7,1058.5,391.7,28.4,13.7,64.6,898.7,1902.2,4607.1,764.6,412.6,45.6,15.9,38.9,746.7
Iraq,3261.8,600.5,367.8,309.5,86.6,33.4,12.5,181.5,561.9,815.2,108.5,9.9,6.0,1.6,320.4,4564.3
Ireland,3890.6,675.3,516.9,554.9,121.9,64.1,123.1,1194.4,984.1,273.9,139.4,3301.5,536.0,240.5,124.1,863.9
Israel,6132.6,686.7,592.8,974.6,34.1,40.1,99.8,1079.4,559.8,753.9,306.8,58.8,9.0,3.3,46.0,491.0
Italy,51071.5,10220.5,4375.8,21394.4,2311.6,1341.9,851.4,9849.3,16848.7,5418.5,2217.7,6228.9,1044.9,582.5,641.8,6276.9
Jamaica,1080.9,197.3,137.6,210.8,20.9,8.4,8.6,78.7,726.9,202.9,61.2,13.3,1.1,0.3,3.2,39.2
Japan,73332.3,8777.9,11507.3,15130.2,1128.0,812.4,1203.8,15330.8,2120.9,799.8,351.3,226.5,33.6,24.8,520.7,6390.9
Jordan,4409.0,812.0,541.8,523.8,66.3,16.9,23.4,319.1,364.0,200.0,62.2,227.6,49.8,20.7,6.8,114.7
Kazakhstan,2274.4,371.4,296.7,294.3,35.6,8.3,57.9,998.8,18941.4,1587.5,64.5,1500.4,270.3,13.7,212.6,4266.0
